"","initials","year_pub","journal_id","volume","issue","first_author","include","reason"
"349","PD",2018,"JOE",106,6,"Benítez-Malvido","Yes","na"
"350","PD",2020,"S",367,6479,"Berdugo","No","No Tables"
"351","PD",2020,"S",368,6496,"Gregr","No","No Tables"
"352","PD",2020,"S",367,6481,"Knope","Yes","na"
"353","PD",2020,"S",368,6493,"Pashalidou","No","No Tables"
"354","PD",2020,"S",367,6474,"Rheindt","No","No Tables"
"355","PD",2020,"S",368,6487,"Ruger","No","No Tables"
"356","PD",2020,"S",368,6495,"Saintilan","No","No Tables"
"357","PD",2020,"S",367,6478,"Soroye","Yes","na"
"358","PD",2020,"S",368,6493,"Sullivan","Yes","na"
"359","PD",2020,"S",368,6489,"Van Klink","No","No Tables"
"360","PD",2020,"S",368,6494,"Waller","No","No Tables"
"361","PD",2020,"S",368,6492,"Zellweger","No","No Tables"
"362","PD",2020,"S",367,6479,"Zipkin","No","No Tables"
"363","PD",2019,"S",363,6423,"Ashton","Yes","na"
"364","PD",2019,"S",364,6436,"Atkins","Yes","na"
"365","PD",2019,"S",365,6448,"Baston","No","No Tables"
"366","PD",2019,"S",366,6470,"Betts","Yes","na"
"367","PD",2019,"S",366,6463,"Blowes","No","No Tables"
"368","PD",2019,"S",364,6446,"Brandl","Yes","na"
"369","PD",2019,"S",364,6442,"Brennan","No","No Tables"
"370","PD",2019,"S",366,6462,"Chaplin-Kramer","No","No Tables"
"371","PD",2019,"S",366,6461,"Chen","Yes","na"
"372","PD",2019,"S",365,6460,"Damschen","No","No Tables"
"373","PD",2019,"S",365,6458,"Eng","No","No Tables"
"374","PD",2019,"S",363,6432,"Forrestrier","No","supplementary materials doesn't work"
"375","PD",2019,"S",363,6430,"Free","No","No Tables"
"376","PD",2019,"S",366,6471,"Goldbogen","Yes","na"
"377","PD",2019,"S",363,6424,"Grab","Yes","na"
"378","PD",2019,"S",363,6425,"Grady","Yes","na"
"379","PD",2019,"S",366,6467,"Iverson","No","No Tables"
"380","PD",2019,"S",363,6423,"Lezine","No","No Tables"
"381","PD",2019,"S",363,6427,"Paniw","No","No Tables"
"382","PD",2019,"S",365,6450,"Park","No","No Tables"
"383","PD",2019,"S",366,6464,"Phillips","No","No Tables"
"384","PD",2019,"S",364,6446,"Ramesh","No","No Tables"
"385","PD",2019,"S",366,6467,"Rilling","Yes","na"
"386","PD",2019,"S",366,6461,"Rosenberg","Yes","na"
"387","PD",2019,"S",363,6434,"Scheele","Yes","na"
"388","PD",2019,"S",365,6457,"Shlesinger and Loya","No","No Tables"
"389","PD",2019,"S",365,6459,"Toth","No","No Tables"
"390","PD",2019,"S",363,6434,"Veldhuis","Yes","na"
"391","PD",2019,"S",366,6465,"Yamamuro","No","No Tables"
"392","PD",2018,"JOE",106,6,"Sangüesa-Barreda","Yes","na"
"393","PD",2018,"JOE",106,6,"Loiola","No","Paper Type"
"394","PD",2018,"JOE",106,6,"DiLeo","Yes","na"
"395","PD",2018,"JOE",106,6,"Souto-Vilarós","No","No Tables"
"396","PD",2018,"JOE",106,6,"Harrison","No","No Tables"
"397","PD",2018,"JOE",106,6,"Bezemer","No","No Tables"
"398","PD",2018,"JOE",106,6,"Harris","Yes","na"
"399","PD",2018,"JOE",106,6,"Zhou","No","No Tables"
"400","PD",2018,"JOE",106,6,"Milkereit","No","No Tables"
"401","PD",2018,"JOE",106,6,"Skaien","No","No Tables"
"402","PD",2018,"JOE",106,6,"Moreira","No","Paper Type"
"403","PD",2018,"JOE",106,6,"Bastías","No","No Tables"
"404","PD",2018,"JOE",106,6,"Burghardt","No","No Tables"
"405","PD",2018,"JOE",106,6,"Quintana-Ascencio","Yes","na"
"406","PD",2018,"JOE",106,6,"Souza","Yes","na"
"407","PD",2018,"JOE",106,6,"Kaufmann","No","No Tables"
"408","PD",2018,"JOE",106,6,"Visser","No","No Tables"
"409","PD",2018,"JOE",106,6,"Umaña","Yes","na"
"410","PD",2018,"JOE",106,6,"Allen","No","No Tables"
"411","PD",2018,"JOE",106,6,"Hapsari","No","No Tables"
"412","PD",2018,"JOE",106,4,"Blonder","No","No Tables"
"413","PD",2018,"JOE",106,4,"Hedi Wenk","No","No Tables"
